ID,cm.DESPC,cm.DESSC,cm.DESWC,cm.DESPL,cm.DESPLd,cm.DESSL,cm.DESSLd,cm.DESWLsy,cm.DESWLsyd,cm.DESWLlt,cm.DESWLltd,cm.CRFNO1,cm.CRFAO1,cm.CRFSO1,cm.CRFNOa,cm.CRFAOa,cm.CRFSOa,cm.CRFCWO1,cm.CRFCWO1d,cm.CRFCWOa,cm.CRFCWOad,cm.CRFANP1,cm.CRFANPa,cm.LSASS1,cm.LSASS1d,cm.LSASSp,cm.LSASSpd,cm.LSAPP1,cm.LSAPP1d,cm.LSAGN,cm.LSAGNd,cm.LDTTRc,cm.LDTTRa,cm.LDMTLDa,cm.LDVOCDa,cm.CNCAll,cm.CNCCaus,cm.CNCLogic,cm.CNCADC,cm.CNCTemp,cm.CNCAdd,cm.CNCPos,cm.CNCNeg,cm.CNCAlter,cm.CNCConclu,cm.CNCExpli,cm.CNCConce,cm.CNCCondi,cm.CNCConfor,cm.CNCFinal,cm.CNCProp,cm.CNCComp,cm.CNCConse,cm.CNCInte,cm.SMCAUSv,cm.SMCAUSvp,cm.SMCAUSr,cm.SMCAUSlsa,cm.SMCAUSwn,cm.SYNLE,cm.SYNMEDpos,cm.SYNMEDwrd,cm.SYNMEDlem,cm.SYNSTRUTa,cm.SYNSTRUTt,cm.DRNP,cm.DRVP,cm.DRAP,cm.DRPP,cm.DRPVAL,cm.DRNEG,cm.DRGERUND,cm.DRINF,cm.WRDNOUN,cm.WRDVERB,cm.WRDADJ,cm.WRDADV,cm.WRDPRO,cm.WRDPRP1s,cm.WRDPRP1p,cm.WRDPRP2,cm.WRDPRP3s,cm.WRDPRP3p,cm.WRDFRQc,cm.WRDFRQa,cm.WRDFRQmc,cm.WRDAOAc,cm.WRDFAMc,cm.WRDCNCc,cm.WRDIMGc,cm.WRDMEAc,cm.RDFRE,cm.RDFKGL,cm.RDL2
712,1,2,38,2.0,0.0,18.0,7.0,1.868421052631579,0.8752158847679888,4.555555555555555,2.204092713875264,0,0,0,0,0,0,0.021052631578947368,0.04210526315789473,0.02457406141616668,0.04382203926824668,0,0,0.0041665584,0.0,0.0041665584,0.0,0,0,0.5020833,0.49791673,1.0,0.7857142857142857,54.88,0.7857142857142863,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.24999999,2.0,0.8333333333333334,0.6,1.0,1.0,0,0,1,1,0,0,3,0,0,0,5,2,0,0,0,0,0,0,0,0,6.480678323147806,1.868825184383785,5.940621796218822,383.0,579.25,271.25,315.0,365.0,26.414999999999992,14.046666666666667,87.97908593240736
732,1,1,5,1.0,0.0,3.0,0.0,1.4,0.5477225575051661,5.0,1.632993161855452,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,nan,nan,0,0,0.99999994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4.815908743576519,1.5719247592340775,4.815908743576519,0,0,0,0,0,62.79000000000002,5.246666666666666,61.905253651116595
750,1,1,35,1.0,0.0,31.0,0.0,2.0285714285714285,1.3169866292079828,5.064516129032258,3.0789135481264536,0,0,0,0,0,0,0.06451612903225806,0.0,0.06451612903225806,0.0,0,0,0,0,nan,nan,0,0,1.0,0.0,1.0,0.8709677419354839,67.27000000000001,0.0,3.0,1.0,3.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.5,1.0,1.0,1.0,0,0,1,1,0,0,0,0,0,2,10,2,1,0,1,0,0,0,0,0,6.5973495774988695,1.8866679892110347,5.74607866427321,441.5,574.6875,305.75,321.4375,343.42857142857144,-7.475161290322546,22.003225806451614,85.92935415954146
758,1,3,38,3.0,0.0,10.666666666666666,6.128258770283411,1.894736842105263,1.0852692699674604,5.15625,2.705427126628991,0,0,0,0,0,0,0.0,0.0,0.019285714285714285,0.04380499458989132,0,0,0.26293457,0.11302696,0.26241755,0.09228902,0,0,0.5082783,0.35577133,0.95,0.8888888888888888,90.71999999999997,0.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.50116473,1.0,0.2,0.7174908424908425,0.9807692307692308,0.9807692307692308,0.2809718162935341,0.2809718162935341,2,1,0,0,4,0,0,0,12,4,4,0,0,0,0,0,0,0,6.412161647873804,1.8581964446406705,6.217853719150355,353.6666666666667,581.2727272727273,289.0,319.3636363636364,332.3,29.03363636363639,11.942424242424245,110.26070000342501
761,1,3,15,3.0,0.0,4.0,3.559026084010437,1.8666666666666667,0.990430401872025,5.333333333333333,2.357022603955158,0,0,0,0,0,0,0.037037037037037035,0.05237828008789241,0.018518518518518517,0.041408666249996104,0,0,0.024343353,0.023855962,0.058729548,0.05238536,0,0,0.35084784,0.46299896,1.0,0.9285714285714286,54.88000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.24999999,1.0,0.25,0.75,1.0,1.0,0.42149858514250876,0.42149858514250876,1,1,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,6.182269757579231,1.8216854787299561,5.151891464649359,0,597.0,273.5,303.0,404.5,26.525000000000006,10.553333333333335,97.1405866777301
771,1,1,7,1.0,0.0,5.0,0.0,2.2857142857142856,1.2535663410560174,6.8,2.4819347291981715,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,nan,nan,0,0,0.99999994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99999994,0.0,0.5,1.0,1.0,1.0,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,6.6250859648117375,1.8908633476087402,6.6250859648117375,0,0,0,0,0,-35.11999999999995,19.400000000000002,102.07803384864464
775,1,1,4,1.0,0.0,4.0,0.0,1.75,0.5,4.75,1.0897247358851685,0,0,0,0,0,0,nan,nan,0,0,0,0,0,0,nan,nan,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6.635946186027852,1.892501262896259,6.635946186027852,536.0,390.0,464.0,435.0,0,54.72500000000002,6.620000000000001,nan
789,1,1,2,1.0,0.0,1.0,0.0,1.5,0.7071067811865476,7.0,0.0,0,0,0,0,0,0,nan,nan,0,0,0,0,0,0,nan,nan,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.1308957533383002,0.12301002077119587,1.1308957533383002,0,0,0,0,0,36.62000000000003,8.400000000000002,nan
816,1,2,18,2.0,0.0,7.0,6.0,1.7777777777777777,1.0032626514091005,5.071428571428571,2.658256295132628,0,0,0,0,0,0,0.0,0.0,0.012820512820512822,0.028667538173074224,0,0,0.0,0.0,0.0,0.0,0,0,0.25000003,0.43301275,1.0,0.9375,71.68,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.24999997,2.0,0.75,0.8333333333333334,1.0,1.0,0,0,1,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,6.639573640583727,1.8930477506712808,5.216807860458642,0,618.75,224.25,231.75,262.5,30.53000000000003,10.740000000000002,70.80721854148415
817,1,4,29,4.0,0.0,6.25,4.968651728587948,1.6551724137931034,0.8567322497625798,4.68,2.222071105972984,1,1,1,1,1,1,0.011363636363636364,0.01968239554055542,0.004545454545454545,0.013636363636363636,1,1,0.06123938,0.013538044,0.050624594,0.018343829,0,0,0.2780957,0.41813546,0.9166666666666666,0.9230769230769231,94.64000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.11111111,1.0,1.6,0.8125,0.96875,0.96875,0.7320676723149672,0.7320676723149672,2,1,0,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0,6.206787252520532,1.825643411432554,6.206787252520532,0,595.3,289.5,305.4,338.125,53.814423076923106,7.368076923076924,138.2633743884325
818,1,2,18,2.0,0.0,7.0,6.0,1.8333333333333333,1.0431851677040118,5.285714285714286,2.762725657973388,0,0,0,0,0,0,0.0,0.0,0.012820512820512822,0.028667538173074224,0,0,0.0,0.0,0.0,0.0,0,0,0.25000003,0.43301275,1.0,0.9375,71.68,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.24999997,2.0,0.75,0.8333333333333334,1.0,1.0,0,0,1,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,6.572157690724657,1.8828421942153208,5.163838185569373,0,618.75,224.25,231.75,262.5,24.487142857142885,11.582857142857147,69.63102691056793
820,1,2,18,2.0,0.0,7.0,6.0,1.7222222222222223,1.0178151661369075,5.0,2.6726124191242437,0,0,0,0,0,0,0.0,0.0,0.012820512820512822,0.028667538173074224,0,0,0.0,0.0,0.0,0.0,0,0,0.24999997,0.43301266,1.0,0.9375,71.68,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.24999997,2.0,0.75,0.8333333333333334,1.0,1.0,0,0,1,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,6.273761455462412,1.8363760879207707,4.929384000720467,0,618.75,224.25,231.75,262.5,36.572857142857174,9.89714285714286,64.42497173599797
830,1,1,7,1.0,0.0,5.0,0.0,2,1.2909944487358056,6.0,2.898275349237888,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,nan,nan,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.99999994,2.0,1.5,1.0,1.0,1.0,0,0,1,1,0,0,0,0,1,0,1,2,1,0,1,0,0,0,0,0,6.609646684623761,1.8885302007895828,6.609646684623761,0,528.0,0,207.0,0,-1.2799999999999727,14.68,101.73520463207059
834,1,3,37,3.0,0.0,10.666666666666666,12.283683848458853,1.7567567567567568,0.9251247785330667,4.84375,2.319878431620933,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.038735054,0.008788995,0.047819417,0.014715599,0,0,0.3358849,0.47136346,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,0.3333333333333333,0.7784018,6.0,5.25,1.0,1.0,1.0,0.4,0.4,1,2,0,0,0,0,0,1,7,6,4,1,1,0,0,0,0,0,6.3765173251448,1.8526220745115975,6.3765173251448,0,607.75,202.33333333333334,235.5,263.0,38.06279569892476,10.517419354838712,121.08096720484026
879,1,2,20,2.0,0.0,8.0,7.0,1.75,0.9665456669582609,4.75,2.680951323690902,0,0,0,0,0,0,0.0,0.0,0.011111111111111112,0.024845199749997663,0,0,0.0,0.0,0.0,0.0,0,0,0.25,0.4330127,1.0,0.9444444444444444,90.71999999999997,0.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.24999997,2.0,0.75,0.8333333333333334,1.0,1.0,0,0,1,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,6.625222672741514,1.8908839822873007,4.968917004556135,0,619.0,223.4,230.6,268.0,34.80250000000001,10.392500000000002,65.30280208616898
899,1,3,40,3.0,0.0,12.0,13.490737563232042,1.575,0.7472170590486632,4.194444444444445,2.105804734595996,0,0,0,0,0,0,0.01,0.017320508075688773,0.004,0.012,0,0,0.04214036,0.001485657,0.050089616,0.011307206,0,0,0.33739838,0.47037598,0.95,0.9166666666666666,120.95999999999995,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6452707,4.0,1.8,0.9583333333333334,1.0,0.9642857142857143,0.3751296794328106,0.3751296794328106,2,2,0,0,0,0,0,2,11,5,4,0,1,0,0,0,0,0,6.228390493110535,1.8291179516064926,6.055379646079686,383.0,608.1,230.625,267.4,294.5,56.005000000000024,8.428888888888888,112.94770516850731
1001,1,2,15,2.0,0.0,5.5,4.5,1.9333333333333333,1.2798809468443688,5.454545454545454,2.675261630829484,0,0,0,0,0,0,0.0,0.0,0.016666666666666666,0.037267799624996496,0,0,0.0,0.0,0.0,0.0,0,0,0.25,0.4330127,1.0,0.9230769230769231,47.320000000000036,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.24999997,2.0,0.75,0.8333333333333334,1.0,1.0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6.622866003145676,1.8905282072501084,5.41870854802828,0,617.5,214.0,211.5,242.5,8.979772727272717,13.373181818181823,75.29042330896796
1015,1,2,26,2.0,0.0,11.0,10.0,2.1153846153846154,1.3061982415214952,5.818181818181818,3.4461620765499754,0,0,0,0,0,0,0.031746031746031744,0.04489566864676491,0.026984126984126982,0.039042456749996325,0,0,0.0,0.0,0.0,0.0,0,0,0.24999999,0.4330127,1.0,0.8333333333333334,40.320000000000014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.25000003,3.0,0.5,0.8888888888888888,1.0,1.0,0,0,0,1,0,0,0,0,0,0,7,4,0,1,1,0,0,0,0,0,6.570833930311193,1.8826407544737294,5.713768635053211,0,626.2,206.2,214.8,253.0,7.571195652173941,15.060217391304349,83.50032777945178
1024,1,1,25,1.0,0.0,23.0,0.0,2.04,1.3686976778431872,4.913043478260869,3.133452651604739,0,0,0,0,0,0,nan,nan,0,0,0,0,0,0,nan,nan,0,0,0.99999994,0.0,1.0,0.9545454545454546,135.52000000000015,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,6.5135303041880785,1.8738815986645143,5.329252067062973,244.0,610.125,281.625,300.0,332.0,19.15045454545455,16.053636363636368,nan
