id,liwc.funct,liwc.pronoun,liwc.ppron,liwc.i,liwc.we,liwc.you,liwc.shehe,liwc.they,liwc.ipron,liwc.article,liwc.verb,liwc.auxverb,liwc.past,liwc.present,liwc.future,liwc.adverb,liwc.preps,liwc.conj,liwc.negate,liwc.quant,liwc.number,liwc.swear,liwc.social,liwc.family,liwc.friend,liwc.humans,liwc.affect,liwc.posemo,liwc.negemo,liwc.anx,liwc.anger,liwc.sad,liwc.cogmech,liwc.insight,liwc.cause,liwc.discrep,liwc.tentat,liwc.certain,liwc.inhib,liwc.incl,liwc.excl,liwc.percept,liwc.see,liwc.hear,liwc.feel,liwc.bio,liwc.body,liwc.health,liwc.sexual,liwc.ingest,liwc.relativ,liwc.motion,liwc.space,liwc.time,liwc.work,liwc.achieve,liwc.leisure,liwc.home,liwc.money,liwc.relig,liwc.death,liwc.assent,liwc.nonfl,liwc.filler
1529,21,4,2,0,0,2,1,0,3,1,8,3,4,4,0,2,10,2,0,3,0,2,6,0,0,0,4,4,1,0,1,0,18,4,2,1,1,1,4,7,2,1,1,0,0,1,0,1,0,6,12,3,9,6,1,2,1,0,1,0,0,0,1,0
1534,11,2,2,0,0,2,0,1,0,2,6,4,1,4,1,3,2,0,0,1,0,3,2,0,0,2,4,3,0,0,0,0,9,2,1,3,4,2,2,0,2,2,1,0,1,2,0,1,0,3,6,4,2,1,1,3,1,0,2,0,0,0,0,0
1535,11,2,2,0,0,2,1,1,1,3,4,3,1,3,1,3,4,0,0,1,0,3,3,0,0,3,4,3,0,0,0,0,11,1,0,3,4,2,2,3,2,3,1,1,1,3,1,1,1,2,4,3,3,2,1,4,1,0,2,0,0,0,1,0
1537,18,4,1,0,0,1,0,1,3,1,8,5,3,5,2,1,6,3,0,1,1,1,5,0,0,1,3,2,0,0,0,0,19,5,1,3,3,2,6,6,3,1,1,0,0,2,1,1,0,2,7,2,6,3,1,2,1,0,2,0,0,0,0,0
1544,21,7,6,0,0,6,2,3,3,5,13,6,8,3,2,0,6,3,0,1,0,8,10,0,0,1,1,1,0,0,0,0,21,8,3,2,2,1,5,5,1,4,2,1,0,7,4,1,1,5,8,6,3,4,2,7,2,0,4,0,0,0,0,0
1545,9,4,4,0,0,4,3,2,2,4,3,1,1,2,0,0,4,1,0,1,1,1,5,0,0,0,2,2,0,0,0,0,11,1,2,0,1,1,2,5,0,0,0,0,0,1,0,1,0,0,2,2,3,2,1,2,0,0,1,0,0,0,2,0
1558,29,7,5,0,0,4,2,4,3,3,13,9,3,7,3,1,11,5,1,2,0,2,7,0,0,0,0,0,0,0,0,0,23,5,2,6,3,2,6,6,4,2,2,0,0,5,4,1,0,4,11,4,5,3,1,2,0,0,7,0,0,0,0,0
1561,13,4,4,0,1,3,3,2,1,1,3,2,0,3,0,1,7,0,0,1,0,0,5,0,0,0,2,1,2,0,1,1,8,0,0,1,0,1,2,4,1,0,0,0,0,2,0,2,0,3,7,3,4,3,2,2,0,0,2,0,0,0,1,0
1565,59,17,10,0,0,9,4,3,11,10,20,5,7,10,1,5,22,12,0,12,0,9,17,0,0,7,11,8,2,0,0,1,63,10,10,12,16,5,9,17,9,8,5,0,2,7,4,3,0,12,29,10,21,13,7,4,1,0,8,0,0,1,2,0
1569,146,42,27,3,0,17,20,6,27,13,59,31,12,33,6,18,46,24,0,16,3,11,44,0,0,13,21,14,6,2,2,2,111,19,22,21,27,8,18,30,20,14,9,0,5,20,7,5,5,31,64,23,44,25,11,18,1,0,12,0,0,0,5,0
1571,18,5,3,0,0,3,1,2,2,4,6,3,1,0,1,0,10,2,0,2,1,3,7,0,0,3,5,3,2,0,1,0,17,3,2,3,3,0,4,6,1,3,1,2,1,4,2,1,1,4,7,3,5,2,7,7,1,0,2,0,0,1,1,0
1572,146,42,27,3,0,17,20,6,27,13,59,31,12,33,6,18,46,24,0,16,3,11,44,0,0,13,21,14,6,2,2,2,111,19,22,21,27,8,18,30,20,14,9,0,5,20,7,5,5,31,64,23,44,25,11,18,1,0,12,0,0,0,5,0
1573,13,5,3,0,0,3,1,2,2,3,5,2,0,0,1,0,7,1,0,0,0,3,7,0,0,2,3,2,1,0,1,0,10,2,2,2,2,0,1,4,1,1,0,1,0,3,2,1,1,2,4,3,3,2,6,6,0,0,2,0,0,0,1,0
1574,146,42,27,3,0,17,20,6,27,13,59,31,12,33,6,18,46,24,0,16,3,11,44,0,0,13,21,14,6,2,2,2,111,19,22,21,27,8,18,30,20,14,9,0,5,20,7,5,5,31,64,23,44,25,11,18,1,0,12,0,0,0,5,0
1575,22,8,5,0,0,5,2,4,3,4,9,5,3,1,1,0,9,4,0,0,0,3,9,0,0,1,2,1,1,0,1,0,16,4,3,3,3,0,3,5,2,1,0,1,0,4,2,2,1,6,10,7,6,3,5,6,0,0,3,0,0,0,1,0
1576,24,10,6,0,0,6,4,3,6,6,10,5,1,1,2,0,10,3,0,3,1,5,11,0,0,2,6,3,2,0,2,0,20,4,2,4,4,0,3,8,2,3,1,2,1,5,3,1,1,6,10,4,7,3,8,6,0,0,5,0,0,0,3,0
1577,19,6,4,0,0,4,1,3,2,4,6,3,1,1,1,0,9,3,0,2,1,2,8,0,0,3,5,4,1,0,1,0,20,4,3,2,4,0,4,8,1,4,1,2,2,5,2,2,1,4,9,5,5,4,8,7,1,0,3,0,0,1,1,0
1578,16,5,3,0,0,3,3,1,4,3,7,2,1,4,0,2,5,1,1,2,1,5,7,0,1,1,3,2,1,0,0,0,16,4,1,4,4,3,6,5,3,2,1,0,2,2,1,2,0,2,7,2,6,6,3,3,0,0,3,0,0,0,2,0
1580,42,14,10,1,0,9,7,2,10,9,12,7,0,3,3,3,18,8,0,5,1,3,14,0,0,4,3,2,1,0,1,0,32,3,6,4,6,1,0,15,4,3,0,1,0,6,2,1,2,5,14,5,14,9,4,5,0,0,4,0,0,1,7,0
1581,17,7,4,0,0,4,1,3,3,4,8,4,1,2,1,0,7,1,0,1,0,3,8,0,0,2,3,2,1,0,1,0,13,3,3,2,3,1,2,4,1,1,0,1,0,4,2,2,1,3,8,6,4,5,8,8,0,0,3,0,0,0,1,0
1582,43,15,11,1,0,10,8,2,11,11,12,6,2,4,2,3,19,7,0,5,2,4,16,0,0,5,5,4,1,0,1,0,35,3,7,3,7,1,3,14,4,5,0,1,2,6,2,1,2,6,14,6,15,9,5,6,1,0,3,0,0,1,7,0
1583,20,6,4,0,0,4,2,3,2,3,9,4,1,2,1,2,10,3,0,1,0,5,7,0,0,3,4,3,1,0,1,0,16,4,4,2,3,0,3,4,1,1,0,1,0,5,2,2,2,7,10,6,7,3,7,7,0,0,3,0,0,1,2,0
1589,15,5,3,0,0,3,1,2,2,3,7,4,1,1,1,0,7,2,0,0,0,2,6,0,0,1,2,1,1,0,1,0,13,4,3,2,2,0,2,4,1,1,0,1,0,4,2,2,1,4,8,6,5,3,5,5,0,0,3,0,0,0,1,0
